problem_id,lesson_id,lesson_title,module,topic,source_order,original_number,kind,section,note_path,solution_note,status,source_pdf_name,source_pdf,source_pdf_uri
1-1-13,1-1,基本不等式,基本不等式,基本不等式,13,2,讲义,三、补充知识,01_题目/1_基本不等式/1-1_基本不等式/1-1-13.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-13_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-14,1-1,基本不等式,基本不等式,基本不等式,14,1,作业,四、作业,01_题目/1_基本不等式/1-1_基本不等式/1-1-14.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-14_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-15,1-1,基本不等式,基本不等式,基本不等式,15,2,作业,四、作业,01_题目/1_基本不等式/1-1_基本不等式/1-1-15.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-15_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-16,1-1,基本不等式,基本不等式,基本不等式,16,3,作业,四、作业,01_题目/1_基本不等式/1-1_基本不等式/1-1-16.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-16_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-17,1-1,基本不等式,基本不等式,基本不等式,17,4,作业,四、作业,01_题目/1_基本不等式/1-1_基本不等式/1-1-17.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-17_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-18,1-1,基本不等式,基本不等式,基本不等式,18,5,作业,四、作业,01_题目/1_基本不等式/1-1_基本不等式/1-1-18.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-18_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-19,1-1,基本不等式,基本不等式,基本不等式,19,6,作业,(二)齐次,01_题目/1_基本不等式/1-1_基本不等式/1-1-19.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-19_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-20,1-1,基本不等式,基本不等式,基本不等式,20,7,作业,(二)齐次,01_题目/1_基本不等式/1-1_基本不等式/1-1-20.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-20_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-21,1-1,基本不等式,基本不等式,基本不等式,21,8,作业,(二)齐次,01_题目/1_基本不等式/1-1_基本不等式/1-1-21.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-21_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-22,1-1,基本不等式,基本不等式,基本不等式,22,9,作业,(二)齐次,01_题目/1_基本不等式/1-1_基本不等式/1-1-22.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-22_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-23,1-1,基本不等式,基本不等式,基本不等式,23,10,作业,(三)代入消元、累次极值(不等式消元),01_题目/1_基本不等式/1-1_基本不等式/1-1-23.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-23_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-24,1-1,基本不等式,基本不等式,基本不等式,24,11,作业,(三)代入消元、累次极值(不等式消元),01_题目/1_基本不等式/1-1_基本不等式/1-1-24.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-24_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-25,1-1,基本不等式,基本不等式,基本不等式,25,12,作业,(三)代入消元、累次极值(不等式消元),01_题目/1_基本不等式/1-1_基本不等式/1-1-25.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-25_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-26,1-1,基本不等式,基本不等式,基本不等式,26,13,作业,(三)代入消元、累次极值(不等式消元),01_题目/1_基本不等式/1-1_基本不等式/1-1-26.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-26_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-27,1-1,基本不等式,基本不等式,基本不等式,27,14,作业,五、综合应用,01_题目/1_基本不等式/1-1_基本不等式/1-1-27.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-27_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-28,1-1,基本不等式,基本不等式,基本不等式,28,15,作业,五、综合应用,01_题目/1_基本不等式/1-1_基本不等式/1-1-28.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-28_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-29,1-1,基本不等式,基本不等式,基本不等式,29,16,作业,五、综合应用,01_题目/1_基本不等式/1-1_基本不等式/1-1-29.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-29_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-30,1-1,基本不等式,基本不等式,基本不等式,30,17,作业,五、综合应用,01_题目/1_基本不等式/1-1_基本不等式/1-1-30.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-30_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-31,1-1,基本不等式,基本不等式,基本不等式,31,18,作业,五、综合应用,01_题目/1_基本不等式/1-1_基本不等式/1-1-31.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-31_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-32,1-1,基本不等式,基本不等式,基本不等式,32,19,作业,五、综合应用,01_题目/1_基本不等式/1-1_基本不等式/1-1-32.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-32_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-33,1-1,基本不等式,基本不等式,基本不等式,33,20,作业,五、综合应用,01_题目/1_基本不等式/1-1_基本不等式/1-1-33.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-33_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-34,1-1,基本不等式,基本不等式,基本不等式,34,21,作业,五、综合应用,01_题目/1_基本不等式/1-1_基本不等式/1-1-34.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-34_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
