模块编号,模块,课时,知识点,资料类型,原文件,来源相对路径,页数,总合集起始页,总合集结束页
7,解三角形,7-3,解三角形：四边形或多三角形,作业,7-3解三角形：四边形或多三角形-作业.pdf,7-3解三角形：四边形或多三角形-作业.pdf,2,645,646
7,解三角形,7-4,解三角形：三角形中的恒等式,讲义,7-4解三角形：三角形中的恒等式-讲义.pdf,7-4解三角形：三角形中的恒等式-讲义.pdf,5,647,651
7,解三角形,7-4,解三角形：三角形中的恒等式,作业,7-4解三角形：三角形中的恒等式-作业.pdf,7-4解三角形：三角形中的恒等式-作业.pdf,1,652,652
7,解三角形,7-5,解三角形：综合应用,讲义,7-5解三角形：综合应用-讲义.pdf,7-5解三角形：综合应用-讲义.pdf,6,653,658
7,解三角形,7-5,解三角形：综合应用,作业,7-5解三角形：综合应用-作业.pdf,7-5解三角形：综合应用-作业.pdf,4,659,662
8,向量,8-1,向量,讲义,8-1向量-讲义.pdf,8-1向量-讲义.pdf,28,663,690
8,向量,8-1,向量,作业,8-1向量-作业.pdf,8-1向量-作业.pdf,4,691,694
9,立体几何,9-1,立体几何：轨迹与最值,讲义,9-1立体几何：轨迹与最值-讲义.pdf,9-1立体几何：轨迹与最值-讲义.pdf,13,695,707
9,立体几何,9-1,立体几何：轨迹与最值,作业,9-1立体几何：轨迹与最值-作业.pdf,9-1立体几何：轨迹与最值-作业.pdf,1,708,708
9,立体几何,9-2,立体几何：翻折,讲义,9-2立体几何：翻折-讲义.pdf,9-2立体几何：翻折-讲义.pdf,9,709,717
9,立体几何,9-2,立体几何：翻折,作业,9-2立体几何：翻折-作业.pdf,9-2立体几何：翻折-作业.pdf,2,718,719
9,立体几何,9-3,立体几何：外接球,讲义,9-3立体几何：外接球-讲义.pdf,9-3立体几何：外接球-讲义.pdf,18,720,737
9,立体几何,9-3,立体几何：外接球,作业,9-3立体几何：外接球-作业.pdf,9-3立体几何：外接球-作业.pdf,1,738,738
9,立体几何,9-4,立体几何：内切球,讲义,9-4立体几何：内切球-讲义.pdf,9-4立体几何：内切球-讲义.pdf,10,739,748
9,立体几何,9-4,立体几何：内切球,作业,9-4立体几何：内切球-作业.pdf,9-4立体几何：内切球-作业.pdf,1,749,749
9,立体几何,9-5,立体几何：截面问题,讲义,9-5立体几何：截面问题-讲义.pdf,9-5立体几何：截面问题-讲义.pdf,12,750,761
9,立体几何,9-5,立体几何：截面问题,作业,9-5立体几何：截面问题-作业.pdf,9-5立体几何：截面问题-作业.pdf,1,762,762
9,立体几何,9-6,立体几何：综合应用,讲义,9-6立体几何：综合应用-讲义.pdf,9-6立体几何：综合应用-讲义.pdf,15,763,777
9,立体几何,9-6,立体几何：综合应用,作业,9-6立体几何：综合应用-作业.pdf,9-6立体几何：综合应用-作业.pdf,2,778,779
10,数列,10-1,数列：放缩,讲义,10-1数列：放缩-讲义.pdf,10-1数列：放缩-讲义.pdf,15,780,794
10,数列,10-1,数列：放缩,作业,10-1数列：放缩-作业.pdf,10-1数列：放缩-作业.pdf,7,795,801
10,数列,10-2,数列：递推,讲义,10-2数列：递推-讲义.pdf,10-2数列：递推-讲义.pdf,6,802,807
10,数列,10-2,数列：递推,作业,10-2数列：递推-作业.pdf,10-2数列：递推-作业.pdf,2,808,809
10,数列,10-3,数列：特征根,讲义,10-3数列：特征根-讲义.pdf,10-3数列：特征根-讲义.pdf,3,810,812
10,数列,10-3,数列：特征根,作业,10-3数列：特征根-作业.pdf,10-3数列：特征根-作业.pdf,1,813,813
10,数列,10-4,数列：不动点,讲义,10-4数列：不动点-讲义.pdf,10-4数列：不动点-讲义.pdf,5,814,818
10,数列,10-4,数列：不动点,作业,10-4数列：不动点-作业.pdf,10-4数列：不动点-作业.pdf,1,819,819
10,数列,10-5,数列：综合应用,讲义,10-5数列：综合应用-讲义.pdf,10-5数列：综合应用-讲义.pdf,13,820,832
10,数列,10-5,数列：综合应用,作业,10-5数列：综合应用-作业.pdf,10-5数列：综合应用-作业.pdf,2,833,834
11,复数,11-1,复数,讲义,11-1复数-讲义.pdf,11-1复数-讲义.pdf,24,835,858
11,复数,11-1,复数,作业,11-1复数-作业.pdf,11-1复数-作业.pdf,4,859,862
12,直线和圆,12-1,直线和圆：特殊的圆,讲义,12-1直线和圆：特殊的圆-讲义.pdf,12-1直线和圆：特殊的圆-讲义.pdf,8,863,870
12,直线和圆,12-1,直线和圆：特殊的圆,作业,12-1直线和圆：特殊的圆-作业.pdf,12-1直线和圆：特殊的圆-作业.pdf,2,871,872
12,直线和圆,12-2,直线和圆：数形结合,讲义,12-2直线和圆：数形结合-讲义.pdf,12-2直线和圆：数形结合-讲义.pdf,6,873,878
12,直线和圆,12-2,直线和圆：数形结合,作业,12-2直线和圆：数形结合-作业.pdf,12-2直线和圆：数形结合-作业.pdf,1,879,879
12,直线和圆,12-3,直线和圆：直线系和圆系,讲义,12-3直线和圆：直线系和圆系-讲义.pdf,12-3直线和圆：直线系和圆系-讲义.pdf,4,880,883
12,直线和圆,12-3,直线和圆：直线系和圆系,作业,12-3直线和圆：直线系和圆系-作业.pdf,12-3直线和圆：直线系和圆系-作业.pdf,1,884,884
12,直线和圆,12-4,直线和圆：综合应用,讲义,12-4直线和圆：综合应用-讲义.pdf,12-4直线和圆：综合应用-讲义.pdf,3,885,887
12,直线和圆,12-4,直线和圆：综合应用,作业,12-4直线和圆：综合应用-作业.pdf,12-4直线和圆：综合应用-作业.pdf,1,888,888
13,圆锥曲线（难点）,13-1,圆锥曲线（难点）：定值定点问题,讲义,13-1圆锥曲线（难点）：定值定点问题-讲义.pdf,13-1圆锥曲线（难点）：定值定点问题-讲义.pdf,5,889,893
13,圆锥曲线（难点）,13-1,圆锥曲线（难点）：定值定点问题,作业,13-1圆锥曲线（难点）：定值定点问题-作业.pdf,13-1圆锥曲线（难点）：定值定点问题-作业.pdf,4,894,897
13,圆锥曲线（难点）,13-2,圆锥曲线（难点）：最值问题,讲义,13-2圆锥曲线（难点）：最值问题-讲义.pdf,13-2圆锥曲线（难点）：最值问题-讲义.pdf,5,898,902
13,圆锥曲线（难点）,13-2,圆锥曲线（难点）：最值问题,作业,13-2圆锥曲线（难点）：最值问题-作业.pdf,13-2圆锥曲线（难点）：最值问题-作业.pdf,2,903,904
13,圆锥曲线（难点）,13-3,圆锥曲线（难点）：仿射变换,讲义,13-3圆锥曲线（难点）：仿射变换-讲义.pdf,13-3圆锥曲线（难点）：仿射变换-讲义.pdf,2,905,906
13,圆锥曲线（难点）,13-4,圆锥曲线（难点）：极点极线,讲义,13-4圆锥曲线（难点）：极点极线-讲义.pdf,13-4圆锥曲线（难点）：极点极线-讲义.pdf,6,907,912
13,圆锥曲线（难点）,13-4,圆锥曲线（难点）：极点极线,作业,13-4圆锥曲线（难点）：极点极线-作业.pdf,13-4圆锥曲线（难点）：极点极线-作业.pdf,3,913,915
13,圆锥曲线（难点）,13-5,圆锥曲线（难点）：非对称,讲义,13-5圆锥曲线（难点）：非对称-讲义.pdf,13-5圆锥曲线（难点）：非对称-讲义.pdf,3,916,918
13,圆锥曲线（难点）,13-5,圆锥曲线（难点）：非对称,作业,13-5圆锥曲线（难点）：非对称-作业.pdf,13-5圆锥曲线（难点）：非对称-作业.pdf,3,919,921
13,圆锥曲线（难点）,13-6,圆锥曲线（难点）：综合应用,讲义,13-6圆锥曲线（难点）：综合应用-讲义.pdf,13-6圆锥曲线（难点）：综合应用-讲义.pdf,15,922,936
13,圆锥曲线（难点）,13-6,圆锥曲线（难点）：综合应用,作业,13-6圆锥曲线（难点）：综合应用-作业.pdf,13-6圆锥曲线（难点）：综合应用-作业.pdf,6,937,942
14,圆锥曲线（小题）,14-1,圆锥曲线（小题）：第一定义&几何性质,讲义,14-1圆锥曲线（小题）：第一定义&几何性质-讲义.pdf,14-1圆锥曲线（小题）：第一定义&几何性质-讲义.pdf,18,943,960
14,圆锥曲线（小题）,14-1,圆锥曲线（小题）：第一定义&几何性质,作业,14-1圆锥曲线（小题）：第一定义&几何性质-作业.pdf,14-1圆锥曲线（小题）：第一定义&几何性质-作业.pdf,2,961,962
14,圆锥曲线（小题）,14-2,圆锥曲线（小题）：第二定义,讲义,14-2圆锥曲线（小题）：第二定义-讲义.pdf,14-2圆锥曲线（小题）：第二定义-讲义.pdf,5,963,967
14,圆锥曲线（小题）,14-2,圆锥曲线（小题）：第二定义,作业,14-2圆锥曲线（小题）：第二定义-作业.pdf,14-2圆锥曲线（小题）：第二定义-作业.pdf,2,968,969
14,圆锥曲线（小题）,14-3,圆锥曲线（小题）：焦点弦,讲义,14-3圆锥曲线（小题）：焦点弦-讲义.pdf,14-3圆锥曲线（小题）：焦点弦-讲义.pdf,9,970,978
14,圆锥曲线（小题）,14-3,圆锥曲线（小题）：焦点弦,作业,14-3圆锥曲线（小题）：焦点弦-作业.pdf,14-3圆锥曲线（小题）：焦点弦-作业.pdf,2,979,980
14,圆锥曲线（小题）,14-4,圆锥曲线（小题）：新曲线&求轨迹,讲义,14-4圆锥曲线（小题）：新曲线&求轨迹-讲义.pdf,14-4圆锥曲线（小题）：新曲线&求轨迹-讲义.pdf,2,981,982
14,圆锥曲线（小题）,14-4,圆锥曲线（小题）：新曲线&求轨迹,作业,14-4圆锥曲线（小题）：新曲线&求轨迹-作业.pdf,14-4圆锥曲线（小题）：新曲线&求轨迹-作业.pdf,1,983,983
14,圆锥曲线（小题）,14-5,圆锥曲线（小题）：参数方程,讲义,14-5圆锥曲线（小题）：参数方程-讲义.pdf,14-5圆锥曲线（小题）：参数方程-讲义.pdf,3,984,986
14,圆锥曲线（小题）,14-6,圆锥曲线（小题）：综合应用,讲义,14-6圆锥曲线（小题）：综合应用-讲义.pdf,14-6圆锥曲线（小题）：综合应用-讲义.pdf,4,987,990
14,圆锥曲线（小题）,14-6,圆锥曲线（小题）：综合应用,作业,14-6圆锥曲线（小题）：综合应用-作业.pdf,14-6圆锥曲线（小题）：综合应用-作业.pdf,2,991,992
15,概率统计,15-1,概率统计：条件概率,讲义,15-1概率统计：条件概率-讲义.pdf,15-1概率统计：条件概率-讲义.pdf,14,993,1006
15,概率统计,15-2,概率统计：递推求概率,讲义,15-2概率统计：递推求概率-讲义.pdf,15-2概率统计：递推求概率-讲义.pdf,6,1007,1012
15,概率统计,15-3,概率统计：随机过程,讲义,15-3概率统计：随机过程-讲义.pdf,15-3概率统计：随机过程-讲义.pdf,9,1013,1021
15,概率统计,15-4,概率统计：综合应用,讲义,15-4概率统计：综合应用-讲义.pdf,15-4概率统计：综合应用-讲义.pdf,3,1022,1024
16,排列组合,16-1,排列组合：基本方法及容斥定理,讲义,16-1排列组合：基本方法及容斥定理-讲义.pdf,16-1排列组合：基本方法及容斥定理-讲义.pdf,8,1025,1032
16,排列组合,16-2,排列组合：二项式定理,讲义,16-2排列组合：二项式定理-讲义.pdf,16-2排列组合：二项式定理-讲义.pdf,8,1033,1040
16,排列组合,16-3,排列组合：插板法,讲义,16-3排列组合：插板法-讲义.pdf,16-3排列组合：插板法-讲义.pdf,6,1041,1046
16,排列组合,16-4,排列组合：综合应用,讲义,16-4排列组合：综合应用-讲义.pdf,16-4排列组合：综合应用-讲义.pdf,5,1047,1051
99,补充资料,99-1,20250125直播答疑圆锥曲线（难点）综合应用-作业,作业,20250125直播答疑圆锥曲线（难点）综合应用-作业.pdf,直播回放板书合集\20250125直播答疑圆锥曲线（难点）综合应用-作业.pdf,17,1052,1068
99,补充资料,99-2,20250322直播选题,选题,20250322直播选题.pdf,直播回放板书合集\20250322直播选题.pdf,11,1069,1079
