模块编号,模块,课时,知识点,资料类型,原文件,来源相对路径,页数,总合集起始页,总合集结束页
4,导数选填,4-10,导数选填：综合应用,讲义,4-10导数选填：综合应用-讲义.pdf,4-10导数选填：综合应用-讲义.pdf,4,763,766
5,导数大题,5-1,导数大题：基本方法1,讲义,5-1导数大题：基本方法1-讲义.pdf,5-1导数大题：基本方法1-讲义.pdf,19,767,785
5,导数大题,5-1,导数大题：基本方法1,作业解析,5-1导数大题：基本方法1-作业解析.pdf,5-1导数大题：基本方法1-作业解析.pdf,10,786,795
5,导数大题,5-2,导数大题：基本方法2,讲义,5-2导数大题：基本方法2-讲义.pdf,5-2导数大题：基本方法2-讲义.pdf,4,796,799
5,导数大题,5-2,导数大题：基本方法2,作业解析,5-2导数大题：基本方法2-作业解析.pdf,5-2导数大题：基本方法2-作业解析.pdf,2,800,801
5,导数大题,5-3,导数大题：端点效应&内点效应,讲义,5-3导数大题：端点效应&内点效应-讲义.pdf,5-3导数大题：端点效应&内点效应-讲义.pdf,12,802,813
5,导数大题,5-3,导数大题：端点效应&内点效应,作业解析,5-3导数大题：端点效应-作业解析.pdf,5-3导数大题：端点效应-作业解析.pdf,5,814,818
5,导数大题,5-4,导数大题：多变量多参数,讲义,5-4导数大题：多变量多参数-讲义.pdf,5-4导数大题：多变量多参数-讲义.pdf,26,819,844
5,导数大题,5-4,导数大题：多变量多参数,作业解析,5-4导数大题：多变量多参数-作业解析.pdf,5-4导数大题：多变量多参数-作业解析.pdf,17,845,861
5,导数大题,5-5,导数大题：凹凸性,讲义,5-5导数大题：凹凸性-讲义.pdf,5-5导数大题：凹凸性-讲义.pdf,12,862,873
5,导数大题,5-5,导数大题：凹凸性,作业解析,5-5导数大题：凹凸性-作业解析.pdf,5-5导数大题：凹凸性-作业解析.pdf,5,874,878
5,导数大题,5-6,导数大题：导数与三角函数,讲义,5-6导数大题：导数与三角函数-讲义.pdf,5-6导数大题：导数与三角函数-讲义.pdf,9,879,887
5,导数大题,5-6,导数大题：导数与三角函数,解析,5-6导数大题：导数与三角函数-解析.pdf,5-6导数大题：导数与三角函数-解析.pdf,6,888,893
5,导数大题,5-7,导数大题：导数与数列,讲义,5-7导数大题：导数与数列-讲义.pdf,5-7导数大题：导数与数列-讲义.pdf,16,894,909
5,导数大题,5-7,导数大题：导数与数列,解析,5-7导数大题：导数与数列-解析.pdf,5-7导数大题：导数与数列-解析.pdf,6,910,915
5,导数大题,5-8,导数大题：高等背景,讲义,5-8导数大题：高等背景-讲义.pdf,5-8导数大题：高等背景-讲义.pdf,9,916,924
5,导数大题,5-9,导数大题：极值点偏移,讲义,5-9导数大题：极值点偏移-讲义.pdf,5-9导数大题：极值点偏移-讲义.pdf,16,925,940
5,导数大题,5-9,导数大题：极值点偏移,解析,5-9导数大题：极值点偏移-解析.pdf,5-9导数大题：极值点偏移-解析.pdf,8,941,948
5,导数大题,5-10,导数大题：新定义,讲义,5-10导数大题：新定义-讲义.pdf,5-10导数大题：新定义-讲义.pdf,12,949,960
5,导数大题,5-11,导数大题：综合应用,讲义,5-11导数大题：综合应用-讲义.pdf,5-11导数大题：综合应用-讲义.pdf,12,961,972
6,三角函数,6-1,三角函数：图像,讲义,6-1三角函数：图像-讲义.pdf,6-1三角函数：图像-讲义.pdf,17,973,989
6,三角函数,6-1,三角函数：图像,作业,6-1三角函数：图像-作业.pdf,6-1三角函数：图像-作业.pdf,2,990,991
6,三角函数,6-2,三角函数：w的取值范围,讲义,6-2三角函数：w的取值范围-讲义.pdf,6-2三角函数：w的取值范围-讲义.pdf,7,992,998
6,三角函数,6-2,三角函数：w的取值范围,作业,6-2三角函数：w的取值范围-作业.pdf,6-2三角函数：w的取值范围-作业.pdf,2,999,1000
6,三角函数,6-3,三角函数：三角恒等变换,讲义,6-3三角函数：三角恒等变换-讲义.pdf,6-3三角函数：三角恒等变换-讲义.pdf,10,1001,1010
6,三角函数,6-3,三角函数：三角恒等变换,作业,6-3三角函数：三角恒等变换-作业.pdf,6-3三角函数：三角恒等变换-作业.pdf,1,1011,1011
6,三角函数,6-4,三角函数：综合应用,讲义,6-4三角函数：综合应用-讲义.pdf,6-4三角函数：综合应用-讲义.pdf,10,1012,1021
6,三角函数,6-4,三角函数：综合应用,作业,6-4三角函数：综合应用-作业.pdf,6-4三角函数：综合应用-作业.pdf,2,1022,1023
7,解三角形,7-1,解三角形：基本方法（边角互化）,讲义,7-1解三角形：基本方法（边角互化）-讲义.pdf,7-1解三角形：基本方法（边角互化）-讲义.pdf,11,1024,1034
7,解三角形,7-1,解三角形：基本方法（边角互化）,作业,7-1解三角形：基本方法（边角互化）-作业.pdf,7-1解三角形：基本方法（边角互化）-作业.pdf,3,1035,1037
7,解三角形,7-1,解三角形：基本方法（边角互化）,解析,7-1解三角形：基本方法（边角互化）-解析.pdf,7-1解三角形：基本方法（边角互化）-解析.pdf,5,1038,1042
7,解三角形,7-2,解三角形：几何性质、四心相关,讲义,7-2解三角形：几何性质、四心相关-讲义.pdf,7-2解三角形：几何性质、四心相关-讲义.pdf,13,1043,1055
7,解三角形,7-2,解三角形：几何性质、四心相关,作业,7-2解三角形：几何性质、四心相关-作业.pdf,7-2解三角形：几何性质、四心相关-作业.pdf,2,1056,1057
7,解三角形,7-2,解三角形：几何性质、四心相关,解析,7-2解三角形：几何性质、四心相关-解析.pdf,7-2解三角形：几何性质、四心相关-解析.pdf,4,1058,1061
7,解三角形,7-3,解三角形：四边形或多三角形,讲义,7-3解三角形：四边形或多三角形-讲义.pdf,7-3解三角形：四边形或多三角形-讲义.pdf,6,1062,1067
7,解三角形,7-3,解三角形：四边形或多三角形,作业,7-3解三角形：四边形或多三角形-作业.pdf,7-3解三角形：四边形或多三角形-作业.pdf,2,1068,1069
7,解三角形,7-3,解三角形：四边形或多三角形,解析,7-3解三角形：四边形或多三角形-解析.pdf,7-3解三角形：四边形或多三角形-解析.pdf,2,1070,1071
7,解三角形,7-4,解三角形：三角形中的恒等式,讲义,7-4解三角形：三角形中的恒等式-讲义.pdf,7-4解三角形：三角形中的恒等式-讲义.pdf,5,1072,1076
7,解三角形,7-4,解三角形：三角形中的恒等式,作业,7-4解三角形：三角形中的恒等式-作业.pdf,7-4解三角形：三角形中的恒等式-作业.pdf,1,1077,1077
7,解三角形,7-4,解三角形：三角形中的恒等式,解析,7-4解三角形：三角形中的恒等式-解析.pdf,7-4解三角形：三角形中的恒等式-解析.pdf,4,1078,1081
7,解三角形,7-5,解三角形：综合应用,讲义,7-5解三角形：综合应用-讲义.pdf,7-5解三角形：综合应用-讲义.pdf,6,1082,1087
7,解三角形,7-5,解三角形：综合应用,作业,7-5解三角形：综合应用-作业.pdf,7-5解三角形：综合应用-作业.pdf,4,1088,1091
7,解三角形,7-5,解三角形：综合应用,解析,7-5解三角形：综合应用-解析.pdf,7-5解三角形：综合应用-解析.pdf,6,1092,1097
8,向量,8-1,向量,讲义,8-1向量-讲义.pdf,8-1向量-讲义.pdf,28,1098,1125
8,向量,8-1,向量,作业,8-1向量-作业.pdf,8-1向量-作业.pdf,4,1126,1129
9,立体几何,9-1,立体几何：轨迹与最值,讲义,9-1立体几何：轨迹与最值-讲义.pdf,9-1立体几何：轨迹与最值-讲义.pdf,13,1130,1142
9,立体几何,9-1,立体几何：轨迹与最值,作业,9-1立体几何：轨迹与最值-作业.pdf,9-1立体几何：轨迹与最值-作业.pdf,1,1143,1143
9,立体几何,9-2,立体几何：翻折,讲义,9-2立体几何：翻折-讲义.pdf,9-2立体几何：翻折-讲义.pdf,9,1144,1152
9,立体几何,9-2,立体几何：翻折,作业,9-2立体几何：翻折-作业.pdf,9-2立体几何：翻折-作业.pdf,2,1153,1154
9,立体几何,9-3,立体几何：外接球,讲义,9-3立体几何：外接球-讲义.pdf,9-3立体几何：外接球-讲义.pdf,18,1155,1172
9,立体几何,9-3,立体几何：外接球,作业,9-3立体几何：外接球-作业.pdf,9-3立体几何：外接球-作业.pdf,1,1173,1173
9,立体几何,9-4,立体几何：内切球,讲义,9-4立体几何：内切球-讲义.pdf,9-4立体几何：内切球-讲义.pdf,10,1174,1183
9,立体几何,9-4,立体几何：内切球,作业,9-4立体几何：内切球-作业.pdf,9-4立体几何：内切球-作业.pdf,1,1184,1184
9,立体几何,9-5,立体几何：截面问题,讲义,9-5立体几何：截面问题-讲义.pdf,9-5立体几何：截面问题-讲义.pdf,12,1185,1196
9,立体几何,9-5,立体几何：截面问题,作业,9-5立体几何：截面问题-作业.pdf,9-5立体几何：截面问题-作业.pdf,1,1197,1197
9,立体几何,9-6,立体几何：综合应用,讲义,9-6立体几何：综合应用-讲义.pdf,9-6立体几何：综合应用-讲义.pdf,15,1198,1212
9,立体几何,9-6,立体几何：综合应用,作业,9-6立体几何：综合应用-作业.pdf,9-6立体几何：综合应用-作业.pdf,2,1213,1214
10,数列,10-1,数列：放缩,讲义,10-1数列：放缩-讲义.pdf,10-1数列：放缩-讲义.pdf,15,1215,1229
10,数列,10-1,数列：放缩,作业,10-1数列：放缩-作业.pdf,10-1数列：放缩-作业.pdf,7,1230,1236
10,数列,10-2,数列：递推,讲义,10-2数列：递推-讲义.pdf,10-2数列：递推-讲义.pdf,6,1237,1242
10,数列,10-2,数列：递推,作业,10-2数列：递推-作业.pdf,10-2数列：递推-作业.pdf,2,1243,1244
10,数列,10-3,数列：特征根,讲义,10-3数列：特征根-讲义.pdf,10-3数列：特征根-讲义.pdf,3,1245,1247
10,数列,10-3,数列：特征根,作业,10-3数列：特征根-作业.pdf,10-3数列：特征根-作业.pdf,1,1248,1248
10,数列,10-4,数列：不动点,讲义,10-4数列：不动点-讲义.pdf,10-4数列：不动点-讲义.pdf,5,1249,1253
10,数列,10-4,数列：不动点,作业,10-4数列：不动点-作业.pdf,10-4数列：不动点-作业.pdf,1,1254,1254
10,数列,10-5,数列：综合应用,讲义,10-5数列：综合应用-讲义.pdf,10-5数列：综合应用-讲义.pdf,13,1255,1267
10,数列,10-5,数列：综合应用,作业,10-5数列：综合应用-作业.pdf,10-5数列：综合应用-作业.pdf,2,1268,1269
11,复数,11-1,复数,讲义,11-1复数-讲义.pdf,11-1复数-讲义.pdf,24,1270,1293
11,复数,11-1,复数,作业,11-1复数-作业.pdf,11-1复数-作业.pdf,4,1294,1297
11,复数,11-1,复数,解析,11-1复数-解析.pdf,11-1复数-解析.pdf,8,1298,1305
12,直线和圆,12-1,直线和圆：特殊的圆,讲义,12-1直线和圆：特殊的圆-讲义.pdf,12-1直线和圆：特殊的圆-讲义.pdf,8,1306,1313
12,直线和圆,12-1,直线和圆：特殊的圆,作业,12-1直线和圆：特殊的圆-作业.pdf,12-1直线和圆：特殊的圆-作业.pdf,2,1314,1315
12,直线和圆,12-1,直线和圆：特殊的圆,解析,12-1直线和圆：特殊的圆-解析.pdf,12-1直线和圆：特殊的圆-解析.pdf,4,1316,1319
12,直线和圆,12-2,直线和圆：数形结合,讲义,12-2直线和圆：数形结合-讲义.pdf,12-2直线和圆：数形结合-讲义.pdf,6,1320,1325
12,直线和圆,12-2,直线和圆：数形结合,作业,12-2直线和圆：数形结合-作业.pdf,12-2直线和圆：数形结合-作业.pdf,1,1326,1326
12,直线和圆,12-2,直线和圆：数形结合,解析,12-2直线和圆：数形结合-解析.pdf,12-2直线和圆：数形结合-解析.pdf,2,1327,1328
12,直线和圆,12-3,直线和圆：直线系和圆系,讲义,12-3直线和圆：直线系和圆系-讲义.pdf,12-3直线和圆：直线系和圆系-讲义.pdf,4,1329,1332
12,直线和圆,12-3,直线和圆：直线系和圆系,作业,12-3直线和圆：直线系和圆系-作业.pdf,12-3直线和圆：直线系和圆系-作业.pdf,1,1333,1333
12,直线和圆,12-3,直线和圆：直线系和圆系,解析,12-3直线和圆：直线系和圆系-解析.pdf,12-3直线和圆：直线系和圆系-解析.pdf,2,1334,1335
12,直线和圆,12-4,直线和圆：综合应用,讲义,12-4直线和圆：综合应用-讲义.pdf,12-4直线和圆：综合应用-讲义.pdf,3,1336,1338
12,直线和圆,12-4,直线和圆：综合应用,作业,12-4直线和圆：综合应用-作业.pdf,12-4直线和圆：综合应用-作业.pdf,1,1339,1339
12,直线和圆,12-4,直线和圆：综合应用,解析,12-4直线和圆：综合应用-解析.pdf,12-4直线和圆：综合应用-解析.pdf,4,1340,1343
13,圆锥曲线（难点）,13-1,圆锥曲线（难点）：定值定点问题,讲义,13-1圆锥曲线（难点）：定值定点问题-讲义.pdf,13-1圆锥曲线（难点）：定值定点问题-讲义.pdf,5,1344,1348
13,圆锥曲线（难点）,13-1,圆锥曲线（难点）：定值定点问题,作业,13-1圆锥曲线（难点）：定值定点问题-作业.pdf,13-1圆锥曲线（难点）：定值定点问题-作业.pdf,4,1349,1352
13,圆锥曲线（难点）,13-2,圆锥曲线（难点）：最值问题,讲义,13-2圆锥曲线（难点）：最值问题-讲义.pdf,13-2圆锥曲线（难点）：最值问题-讲义.pdf,5,1353,1357
13,圆锥曲线（难点）,13-2,圆锥曲线（难点）：最值问题,作业,13-2圆锥曲线（难点）：最值问题-作业.pdf,13-2圆锥曲线（难点）：最值问题-作业.pdf,2,1358,1359
13,圆锥曲线（难点）,13-3,圆锥曲线（难点）：仿射变换,讲义,13-3圆锥曲线（难点）：仿射变换-讲义.pdf,13-3圆锥曲线（难点）：仿射变换-讲义.pdf,2,1360,1361
13,圆锥曲线（难点）,13-4,圆锥曲线（难点）：极点极线,讲义,13-4圆锥曲线（难点）：极点极线-讲义.pdf,13-4圆锥曲线（难点）：极点极线-讲义.pdf,6,1362,1367
13,圆锥曲线（难点）,13-4,圆锥曲线（难点）：极点极线,作业,13-4圆锥曲线（难点）：极点极线-作业.pdf,13-4圆锥曲线（难点）：极点极线-作业.pdf,3,1368,1370
13,圆锥曲线（难点）,13-5,圆锥曲线（难点）：非对称,讲义,13-5圆锥曲线（难点）：非对称-讲义.pdf,13-5圆锥曲线（难点）：非对称-讲义.pdf,3,1371,1373
13,圆锥曲线（难点）,13-5,圆锥曲线（难点）：非对称,作业,13-5圆锥曲线（难点）：非对称-作业.pdf,13-5圆锥曲线（难点）：非对称-作业.pdf,3,1374,1376
13,圆锥曲线（难点）,13-6,圆锥曲线（难点）：综合应用,讲义,13-6圆锥曲线（难点）：综合应用-讲义.pdf,13-6圆锥曲线（难点）：综合应用-讲义.pdf,15,1377,1391
13,圆锥曲线（难点）,13-6,圆锥曲线（难点）：综合应用,作业,13-6圆锥曲线（难点）：综合应用-作业.pdf,13-6圆锥曲线（难点）：综合应用-作业.pdf,6,1392,1397
14,圆锥曲线（小题）,14-1,圆锥曲线（小题）：第一定义&几何性质,讲义,14-1圆锥曲线（小题）：第一定义&几何性质-讲义.pdf,14-1圆锥曲线（小题）：第一定义&几何性质-讲义.pdf,18,1398,1415
14,圆锥曲线（小题）,14-1,圆锥曲线（小题）：第一定义&几何性质,作业,14-1圆锥曲线（小题）：第一定义&几何性质-作业.pdf,14-1圆锥曲线（小题）：第一定义&几何性质-作业.pdf,2,1416,1417
14,圆锥曲线（小题）,14-2,圆锥曲线（小题）：第二定义,讲义,14-2圆锥曲线（小题）：第二定义-讲义.pdf,14-2圆锥曲线（小题）：第二定义-讲义.pdf,5,1418,1422
14,圆锥曲线（小题）,14-2,圆锥曲线（小题）：第二定义,作业,14-2圆锥曲线（小题）：第二定义-作业.pdf,14-2圆锥曲线（小题）：第二定义-作业.pdf,2,1423,1424
14,圆锥曲线（小题）,14-3,圆锥曲线（小题）：焦点弦,讲义,14-3圆锥曲线（小题）：焦点弦-讲义.pdf,14-3圆锥曲线（小题）：焦点弦-讲义.pdf,9,1425,1433
14,圆锥曲线（小题）,14-3,圆锥曲线（小题）：焦点弦,作业,14-3圆锥曲线（小题）：焦点弦-作业.pdf,14-3圆锥曲线（小题）：焦点弦-作业.pdf,2,1434,1435
14,圆锥曲线（小题）,14-4,圆锥曲线（小题）：新曲线&求轨迹,讲义,14-4圆锥曲线（小题）：新曲线&求轨迹-讲义.pdf,14-4圆锥曲线（小题）：新曲线&求轨迹-讲义.pdf,2,1436,1437
14,圆锥曲线（小题）,14-4,圆锥曲线（小题）：新曲线&求轨迹,作业,14-4圆锥曲线（小题）：新曲线&求轨迹-作业.pdf,14-4圆锥曲线（小题）：新曲线&求轨迹-作业.pdf,1,1438,1438
14,圆锥曲线（小题）,14-5,圆锥曲线（小题）：参数方程,讲义,14-5圆锥曲线（小题）：参数方程-讲义.pdf,14-5圆锥曲线（小题）：参数方程-讲义.pdf,3,1439,1441
14,圆锥曲线（小题）,14-6,圆锥曲线（小题）：综合应用,讲义,14-6圆锥曲线（小题）：综合应用-讲义.pdf,14-6圆锥曲线（小题）：综合应用-讲义.pdf,4,1442,1445
14,圆锥曲线（小题）,14-6,圆锥曲线（小题）：综合应用,作业,14-6圆锥曲线（小题）：综合应用-作业.pdf,14-6圆锥曲线（小题）：综合应用-作业.pdf,2,1446,1447
15,概率统计,15-1,概率统计：条件概率,讲义,15-1概率统计：条件概率-讲义.pdf,15-1概率统计：条件概率-讲义.pdf,14,1448,1461
15,概率统计,15-2,概率统计：递推求概率,讲义,15-2概率统计：递推求概率-讲义.pdf,15-2概率统计：递推求概率-讲义.pdf,6,1462,1467
15,概率统计,15-3,概率统计：随机过程,讲义,15-3概率统计：随机过程-讲义.pdf,15-3概率统计：随机过程-讲义.pdf,9,1468,1476
15,概率统计,15-4,概率统计：综合应用,讲义,15-4概率统计：综合应用-讲义.pdf,15-4概率统计：综合应用-讲义.pdf,3,1477,1479
16,排列组合,16-1,排列组合：基本方法及容斥定理,讲义,16-1排列组合：基本方法及容斥定理-讲义.pdf,16-1排列组合：基本方法及容斥定理-讲义.pdf,8,1480,1487
16,排列组合,16-2,排列组合：二项式定理,讲义,16-2排列组合：二项式定理-讲义.pdf,16-2排列组合：二项式定理-讲义.pdf,8,1488,1495
16,排列组合,16-3,排列组合：插板法,讲义,16-3排列组合：插板法-讲义.pdf,16-3排列组合：插板法-讲义.pdf,6,1496,1501
16,排列组合,16-4,排列组合：综合应用,讲义,16-4排列组合：综合应用-讲义.pdf,16-4排列组合：综合应用-讲义.pdf,5,1502,1506
99,补充资料,99-1,20250125直播答疑圆锥曲线（难点）综合应用-作业,作业,20250125直播答疑圆锥曲线（难点）综合应用-作业.pdf,直播回放板书合集\20250125直播答疑圆锥曲线（难点）综合应用-作业.pdf,17,1507,1523
99,补充资料,99-2,20250322直播选题,选题,20250322直播选题.pdf,直播回放板书合集\20250322直播选题.pdf,11,1524,1534
